,Classifier,Input,Test Phase,Fold,Accuracy,Precision,F-score,Recall,True Positives,False Positives,False Negatives,True Negatives
0,Logistic Regression,Description,Validation,1,0.8893910860012555,0.4727272727272727,0.5534718702483529,0.6674816625916871,546,272,609,6538
0,Logistic Regression,Description,Validation,2,0.8888888888888888,0.44057193923145666,0.5269909139497595,0.6555851063829787,493,259,626,6587
0,Logistic Regression,Description,Validation,3,0.8911487758945386,0.46001881467544686,0.5300813008130082,0.6253196930946292,489,293,574,6609
0,Logistic Regression,Description,Validation,4,0.9073446327683616,0.5130784708249497,0.5802047781569966,0.6675392670157068,510,254,484,6717
0,Logistic Regression,Description,Validation,5,0.8908976773383553,0.45260223048327136,0.5284861638632664,0.6349413298565841,487,280,589,6609
0,Logistic Regression,Description,Validation,6,0.896421845574388,0.4426078971533517,0.538848518725545,0.6885714285714286,482,218,607,6658
0,Logistic Regression,Description,Validation,7,0.8942875078468299,0.4453125,0.5199543899657925,0.6246575342465753,456,274,568,6667
0,Logistic Regression,Description,Validation,8,0.9021971123666039,0.49042553191489363,0.5420340975896532,0.6057818659658344,461,300,479,6725
0,Logistic Regression,Description,Validation,9,0.9054495228528378,0.4880694143167028,0.544464609800363,0.615595075239398,450,281,472,6761
0,Logistic Regression,Description,Validation,10,0.9011803114013058,0.4904522613065327,0.5536018150879184,0.6354166666666666,488,280,507,6689
0,Logistic Regression,Description,Test,0,0.8977050168231808,0.4531746031746032,0.5285813469104375,0.6340921710161022,1142,659,1378,16734
