,Classifier,Input,Test Phase,Fold,Accuracy,Precision,F-score,Recall,True Positives,False Positives,False Negatives,True Negatives
0,Logistic Regression,Title,Validation,1,0.9148775894538607,0.5303514376996805,0.5949820788530465,0.6775510204081633,498,237,441,6789
0,Logistic Regression,Title,Validation,2,0.909353421217828,0.527643064985451,0.6011049723756906,0.6983311938382541,544,235,487,6699
0,Logistic Regression,Title,Validation,3,0.9104833647206528,0.5207920792079208,0.5960339943342776,0.6966887417218544,526,229,484,6726
0,Logistic Regression,Title,Validation,4,0.911487758945386,0.5243019648397105,0.5898778359511344,0.6742021276595744,507,245,460,6753
0,Logistic Regression,Title,Validation,5,0.9129943502824859,0.5176358436606292,0.6104553119730185,0.7438356164383562,543,187,506,6729
0,Logistic Regression,Title,Validation,6,0.9094789704959196,0.5288461538461539,0.6040637012630423,0.704225352112676,550,231,490,6694
0,Logistic Regression,Title,Validation,7,0.9088512241054614,0.5120240480961924,0.5846681922196797,0.6813333333333333,511,239,487,6728
0,Logistic Regression,Title,Validation,8,0.9098556183301946,0.48795811518324606,0.5648484848484848,0.6705035971223021,466,229,489,6781
0,Logistic Regression,Title,Validation,9,0.9119789050728278,0.521608040201005,0.5968947671075332,0.6975806451612904,519,225,476,6744
0,Logistic Regression,Title,Validation,10,0.9138623807132095,0.5396039603960396,0.6137387387387389,0.7114882506527415,545,221,465,6733
0,Logistic Regression,Title,Test,0,0.9102596293878371,0.5204582651391162,0.5873932117293927,0.6740858505564388,1272,615,1172,16854
