,Classifier,Input,Test Phase,Fold,Accuracy,Precision,F-score,Recall,True Positives,False Positives,False Negatives,True Negatives
0,Logistic Regression,Title,Validation,1,0.9101067168863779,0.528032619775739,0.5913242009132419,0.6718547341115434,518,253,463,6731
0,Logistic Regression,Title,Validation,2,0.9065913370998117,0.5067178502879078,0.5866666666666667,0.6965699208443272,528,230,514,6693
0,Logistic Regression,Title,Validation,3,0.9142498430634024,0.544799176107106,0.607696726019529,0.687012987012987,529,241,442,6753
0,Logistic Regression,Title,Validation,4,0.9073446327683616,0.48733535967578523,0.5658823529411765,0.6746143057503506,481,232,506,6746
0,Logistic Regression,Title,Validation,5,0.908600125549278,0.501,0.5791907514450867,0.6863013698630137,501,229,499,6736
0,Logistic Regression,Title,Validation,6,0.9121155053358443,0.5155155155155156,0.5953757225433526,0.7045143638850889,515,216,484,6750
0,Logistic Regression,Title,Validation,7,0.9121155053358443,0.5168650793650794,0.5981630309988519,0.7098092643051771,521,213,487,6744
0,Logistic Regression,Title,Validation,8,0.9098556183301946,0.5298281092012134,0.5934314835787089,0.6743886743886743,524,253,465,6723
0,Logistic Regression,Title,Validation,9,0.9132345554997489,0.5281124497991968,0.6035570854847964,0.7041499330655957,526,221,470,6747
0,Logistic Regression,Title,Validation,10,0.9121044701155199,0.5191740412979351,0.601366742596811,0.7144790257104194,528,211,489,6736
0,Logistic Regression,Title,Test,0,0.9135740471049063,0.5373012637586628,0.6050034427358273,0.6922268907563025,1318,586,1135,16874
