,Classifier,Input,Test Phase,Fold,Accuracy,Precision,F-score,Recall,True Positives,False Positives,False Negatives,True Negatives
0,Logistic Regression,Title,Validation,1,0.9123666038920276,0.5126315789473684,0.5825358851674641,0.6745152354570637,487,235,463,6780
0,Logistic Regression,Title,Validation,2,0.914375392341494,0.5347150259067357,0.602100350058343,0.6889185580774366,516,233,449,6767
0,Logistic Regression,Title,Validation,3,0.9170119271814187,0.5463157894736842,0.61094761624485,0.6929238985313751,519,230,431,6785
0,Logistic Regression,Title,Validation,4,0.9131198995605775,0.5364850976361768,0.6013824884792627,0.6841415465268676,522,241,451,6751
0,Logistic Regression,Title,Validation,5,0.908600125549278,0.5050403225806451,0.5791907514450867,0.6788617886178862,501,237,491,6736
0,Logistic Regression,Title,Validation,6,0.9139987445072191,0.5264248704663212,0.5972957084068196,0.6902173913043478,508,228,457,6772
0,Logistic Regression,Title,Validation,7,0.9136220966729441,0.5116525423728814,0.5840386940749698,0.680281690140845,483,227,461,6794
0,Logistic Regression,Title,Validation,8,0.9058380414312618,0.4974721941354904,0.5674740484429065,0.6604026845637584,492,253,497,6723
0,Logistic Regression,Title,Validation,9,0.9116022099447514,0.5224775224775224,0.5977142857142858,0.69826435246996,523,226,478,6737
0,Logistic Regression,Title,Validation,10,0.9055750878955299,0.5140640155189137,0.5849889624724062,0.678617157490397,530,251,501,6682
0,Logistic Regression,Title,Test,0,0.9080500175764575,0.5196881091617934,0.5928396708917056,0.6899585921325052,1333,599,1232,16749
