,Classifier,Input,Test Phase,Fold,Accuracy,Precision,F-score,Recall,True Positives,False Positives,False Negatives,True Negatives
0,Logistic Regression,Title,Validation,1,0.9128688010043943,0.5400202634245187,0.6056818181818181,0.6895213454075032,533,240,454,6738
0,Logistic Regression,Title,Validation,2,0.9177652228499686,0.5563674321503131,0.6194073213248112,0.6985583224115334,533,230,425,6777
0,Logistic Regression,Title,Validation,3,0.9106089139987446,0.5309017223910841,0.5954545454545456,0.6778783958602846,524,249,463,6729
0,Logistic Regression,Title,Validation,4,0.9127432517263026,0.5241855873642646,0.6044393853158794,0.7137096774193549,531,213,482,6739
0,Logistic Regression,Title,Validation,5,0.916886377903327,0.5386243386243387,0.6059523809523809,0.6925170068027211,509,226,436,6794
0,Logistic Regression,Title,Validation,6,0.9113622096672944,0.5207328833172613,0.6047032474804032,0.7209612817089452,540,209,497,6719
0,Logistic Regression,Title,Validation,7,0.9091023226616447,0.5020325203252033,0.5771028037383178,0.6785714285714286,494,234,490,6747
0,Logistic Regression,Title,Validation,8,0.9109855618330195,0.5253549695740365,0.5936962750716331,0.6824769433465085,518,241,468,6738
0,Logistic Regression,Title,Validation,9,0.9129834254143646,0.524,0.6019529006318208,0.7071524966261808,524,217,476,6747
0,Logistic Regression,Title,Validation,10,0.9082119537920643,0.5176470588235295,0.5909345271404588,0.6883963494132985,528,239,492,6705
0,Logistic Regression,Title,Test,0,0.9077989253251645,0.5011904761904762,0.5790921595598348,0.6856677524429967,1263,579,1257,16814
