,Classifier,Input,Test Phase,Fold,Accuracy,Precision,F-score,Recall,True Positives,False Positives,False Negatives,True Negatives
0,Logistic Regression,Title,Validation,1,0.9091023226616447,0.5073457394711067,0.5886363636363635,0.7009472259810555,518,221,503,6723
0,Logistic Regression,Title,Validation,2,0.9077212806026366,0.4984894259818731,0.573913043478261,0.6762295081967213,495,237,498,6735
0,Logistic Regression,Title,Validation,3,0.915128688010044,0.5486111111111112,0.6206509539842873,0.7144702842377261,553,221,455,6736
0,Logistic Regression,Title,Validation,4,0.912241054613936,0.5314685314685315,0.603516732841747,0.6981627296587927,532,230,469,6734
0,Logistic Regression,Title,Validation,5,0.9121155053358443,0.5326732673267327,0.6058558558558558,0.7023498694516971,538,228,472,6727
0,Logistic Regression,Title,Validation,6,0.9111111111111111,0.5308151093439364,0.6013513513513514,0.6935064935064935,534,236,472,6723
0,Logistic Regression,Title,Validation,7,0.9123666038920276,0.5156903765690377,0.5855106888361046,0.6771978021978022,493,235,463,6774
0,Logistic Regression,Title,Validation,8,0.9092278719397363,0.5146909827760892,0.5842438182863715,0.675531914893617,508,244,479,6734
0,Logistic Regression,Title,Validation,9,0.9126067302862882,0.502532928064843,0.5876777251184835,0.7075606276747504,496,205,491,6772
0,Logistic Regression,Title,Validation,10,0.9124811652435962,0.5107692307692308,0.5883047844063791,0.6935933147632312,498,220,477,6769
0,Logistic Regression,Title,Test,0,0.9089539496811129,0.5240209931368591,0.5887956452710364,0.6718426501035196,1298,634,1179,16802
