,Classifier,Input,Test Phase,Fold,Accuracy,Precision,F-score,Recall,True Positives,False Positives,False Negatives,True Negatives
0,Logistic Regression,Title,Validation,1,0.9099811676082863,0.5176470588235295,0.595600676818951,0.701195219123506,528,225,492,6720
0,Logistic Regression,Title,Validation,2,0.9133709981167608,0.5423387096774194,0.609286523216308,0.6950904392764858,538,236,454,6737
0,Logistic Regression,Title,Validation,3,0.9040803515379786,0.5014807502467917,0.5707865168539327,0.6623207301173403,508,259,505,6693
0,Logistic Regression,Title,Validation,4,0.9128688010043943,0.5454545454545454,0.6061293984108967,0.6819923371647509,534,249,445,6737
0,Logistic Regression,Title,Validation,5,0.9047080979284369,0.5015136226034309,0.567027952082145,0.652230971128609,497,265,494,6709
0,Logistic Regression,Title,Validation,6,0.9171374764595104,0.5226077812828601,0.6009673518742443,0.7069701280227596,497,206,454,6808
0,Logistic Regression,Title,Validation,7,0.9094789704959196,0.5144787644787645,0.5965304980414101,0.7097203728362184,533,218,503,6711
0,Logistic Regression,Title,Validation,8,0.9147520401757689,0.5169927909371782,0.5965537730243613,0.7050561797752809,502,210,469,6784
0,Logistic Regression,Title,Validation,9,0.9116022099447514,0.546875,0.6140350877192983,0.7,560,240,464,6700
0,Logistic Regression,Title,Validation,10,0.9110999497739829,0.5076608784473953,0.5840188014101058,0.6874135546334716,497,226,482,6759
0,Logistic Regression,Title,Test,0,0.9107115954401647,0.5137987012987013,0.5874709976798145,0.685807150595883,1266,580,1198,16869
