,Classifier,Input,Test Phase,Fold,Accuracy,Precision,F-score,Recall,True Positives,False Positives,False Negatives,True Negatives
0,Logistic Regression,Title,Validation,1,0.9106089139987446,0.5238095238095238,0.5972850678733033,0.6947368421052632,528,232,480,6725
0,Logistic Regression,Title,Validation,2,0.9098556183301946,0.5248015873015873,0.5957207207207208,0.6888020833333334,529,239,479,6718
0,Logistic Regression,Title,Validation,3,0.9121155053358443,0.5410176531671859,0.5981630309988519,0.668806161745828,521,258,442,6744
0,Logistic Regression,Title,Validation,4,0.9163841807909604,0.5456498388829216,0.6040428061831153,0.6764314247669774,508,243,423,6791
0,Logistic Regression,Title,Validation,5,0.9138731952291275,0.5126135216952573,0.5969447708578144,0.7144866385372715,508,203,483,6771
0,Logistic Regression,Title,Validation,6,0.912241054613936,0.5259259259259259,0.5871234494979327,0.6644385026737968,497,251,448,6769
0,Logistic Regression,Title,Validation,7,0.9092278719397363,0.5230460921843687,0.5908319185059422,0.6788036410923277,522,247,476,6720
0,Logistic Regression,Title,Validation,8,0.9158819836785939,0.5389344262295082,0.610917537746806,0.7050938337801609,526,220,450,6769
0,Logistic Regression,Title,Validation,9,0.9119789050728278,0.5183349851337958,0.5987406983400115,0.7086720867208672,523,215,486,6740
0,Logistic Regression,Title,Validation,10,0.9159969864389754,0.5418821096173733,0.6103669190448456,0.6986666666666667,524,226,443,6771
0,Logistic Regression,Title,Test,0,0.910410284738613,0.5139442231075697,0.5912007332722273,0.6957928802588996,1290,564,1220,16839
