,Classifier,Input,Test Phase,Fold,Accuracy,Precision,F-score,Recall,True Positives,False Positives,False Negatives,True Negatives
0,Logistic Regression,Title,Validation,1,0.9106089139987446,0.509683995922528,0.5841121495327103,0.6839945280437757,500,231,481,6753
0,Logistic Regression,Title,Validation,2,0.90646578782172,0.4951171875,0.5764638999431495,0.689795918367347,507,228,517,6713
0,Logistic Regression,Title,Validation,3,0.908600125549278,0.528169014084507,0.5905511811023622,0.6696428571428571,525,259,469,6712
0,Logistic Regression,Title,Validation,4,0.9106089139987446,0.5255255255255256,0.5959137343927357,0.6880733944954128,525,238,474,6728
0,Logistic Regression,Title,Validation,5,0.912241054613936,0.5362173038229376,0.6039660056657224,0.6913099870298314,533,238,461,6733
0,Logistic Regression,Title,Validation,6,0.9139987445072191,0.5295336787564767,0.5987111892208554,0.6886792452830188,511,231,454,6769
0,Logistic Regression,Title,Validation,7,0.9127432517263026,0.5374493927125507,0.6044393853158794,0.6905071521456437,531,238,457,6739
0,Logistic Regression,Title,Validation,8,0.9142498430634024,0.5190918472652218,0.5956187092954409,0.6986111111111111,503,217,466,6779
0,Logistic Regression,Title,Validation,9,0.9129834254143646,0.5151199165797706,0.5877453896490185,0.6842105263157895,494,228,465,6777
0,Logistic Regression,Title,Validation,10,0.9121044701155199,0.5273279352226721,0.5981630309988518,0.6909814323607427,521,233,467,6743
0,Logistic Regression,Title,Test,0,0.9093556972831819,0.5150695517774343,0.5962871840751509,0.7079129049389272,1333,550,1255,16775
