,Classifier,Input,Test Phase,Fold,Accuracy,Precision,F-score,Recall,True Positives,False Positives,False Negatives,True Negatives
0,Logistic Regression,Title,Validation,1,0.9113622096672944,0.5334645669291339,0.605586592178771,0.7002583979328165,542,232,474,6717
0,Logistic Regression,Title,Validation,2,0.9082234777150031,0.5068928950159067,0.5666864256075875,0.6424731182795699,478,266,465,6756
0,Logistic Regression,Title,Validation,3,0.9136220966729441,0.5314401622718052,0.6036866359447005,0.6986666666666667,524,226,462,6753
0,Logistic Regression,Title,Validation,4,0.9119899560577527,0.5257936507936508,0.601930721181147,0.703851261620186,530,223,478,6734
0,Logistic Regression,Title,Validation,5,0.911487758945386,0.5295857988165681,0.6037099494097807,0.7019607843137254,537,228,477,6723
0,Logistic Regression,Title,Validation,6,0.9182674199623352,0.5482897384305835,0.6260769672601952,0.7295850066934404,545,202,449,6769
0,Logistic Regression,Title,Validation,7,0.906842435655995,0.5146316851664985,0.5788876276958002,0.6614785992217899,510,261,481,6713
0,Logistic Regression,Title,Validation,8,0.9106089139987446,0.5136501516683518,0.587962962962963,0.6874154262516915,508,231,481,6745
0,Logistic Regression,Title,Validation,9,0.9175037669512808,0.5179704016913319,0.5986560781918143,0.7091172214182344,490,201,456,6817
0,Logistic Regression,Title,Validation,10,0.9073329984932195,0.501004016064257,0.5748847926267282,0.6743243243243243,499,241,497,6727
0,Logistic Regression,Title,Test,0,0.9096067895344749,0.5194704049844237,0.5971351835273053,0.7021052631578948,1334,566,1234,16779
