,Classifier,Input,Test Phase,Fold,Accuracy,Precision,F-score,Recall,True Positives,False Positives,False Negatives,True Negatives
0,Logistic Regression,Title,Validation,1,0.9126177024482109,0.5204616998950682,0.5876777251184834,0.6748299319727891,496,239,457,6773
0,Logistic Regression,Title,Validation,2,0.9121155053358443,0.52,0.5915985997666279,0.6860622462787551,507,232,468,6758
0,Logistic Regression,Title,Validation,3,0.9052102950408035,0.49342770475227504,0.5638359329867129,0.6576819407008087,488,254,501,6722
0,Logistic Regression,Title,Validation,4,0.9101067168863779,0.5172413793103449,0.587557603686636,0.68,510,240,476,6739
0,Logistic Regression,Title,Validation,5,0.9161330822347772,0.5414078674948241,0.6102683780630106,0.6991978609625669,523,225,443,6774
0,Logistic Regression,Title,Validation,6,0.9069679849340866,0.5228571428571429,0.5970636215334422,0.6958174904942965,549,240,501,6675
0,Logistic Regression,Title,Validation,7,0.90646578782172,0.515972894482091,0.5886250690226394,0.6850899742930592,533,245,500,6687
0,Logistic Regression,Title,Validation,8,0.9088512241054614,0.5047120418848168,0.570414201183432,0.6557823129251701,482,253,473,6757
0,Logistic Regression,Title,Validation,9,0.9108488196885987,0.5207700101317123,0.5914844649021864,0.6844207723035952,514,237,473,6740
0,Logistic Regression,Title,Validation,10,0.9159969864389754,0.524390243902439,0.6067019400352734,0.7196652719665272,516,201,468,6779
0,Logistic Regression,Title,Test,0,0.9115653090945613,0.5252248728979273,0.6040026984483922,0.7105820105820105,1343,547,1214,16809
