,Classifier,Input,Test Phase,Fold,Accuracy,Precision,F-score,Recall,True Positives,False Positives,False Negatives,True Negatives
0,Logistic Regression,Title,Validation,1,0.9119899560577527,0.5128998968008256,0.5864306784660767,0.6845730027548209,497,229,472,6767
0,Logistic Regression,Title,Validation,2,0.9088512241054614,0.5269035532994923,0.5884353741496599,0.6662387676508345,519,260,466,6720
0,Logistic Regression,Title,Validation,3,0.9052102950408035,0.4980769230769231,0.5784477945281965,0.6897470039946738,518,233,522,6692
0,Logistic Regression,Title,Validation,4,0.9173885750156937,0.5377643504531722,0.6187717265353418,0.7285129604365621,534,199,459,6773
0,Logistic Regression,Title,Validation,5,0.9183929692404269,0.5389408099688473,0.6149289099526066,0.7158620689655173,519,206,444,6796
0,Logistic Regression,Title,Validation,6,0.918016321406152,0.5340659340659341,0.598153846153846,0.6797202797202797,486,229,424,6826
0,Logistic Regression,Title,Validation,7,0.9082234777150031,0.5081135902636917,0.5781881130986728,0.6706827309236948,501,246,485,6733
0,Logistic Regression,Title,Validation,8,0.9070935342121783,0.48632218844984804,0.5647058823529412,0.6732117812061711,480,233,507,6745
0,Logistic Regression,Title,Validation,9,0.9126067302862882,0.5453648915187377,0.6137624861265261,0.7017766497461929,553,235,461,6715
0,Logistic Regression,Title,Validation,10,0.9090909090909091,0.5358527131782945,0.6043715846994535,0.6929824561403509,553,245,479,6687
0,Logistic Regression,Title,Test,0,0.9074976146236127,0.5112960760998811,0.5834464043419267,0.6793048973143759,1290,609,1233,16781
