,Classifier,Input,Test Phase,Fold,Accuracy,Precision,F-score,Recall,True Positives,False Positives,False Negatives,True Negatives
0,Logistic Regression,Title,Validation,1,0.9147520401757689,0.5258264462809917,0.599882144961697,0.6982167352537723,509,220,459,6777
0,Logistic Regression,Title,Validation,2,0.9160075329566855,0.5192507804370448,0.5986802639472106,0.7067988668555241,499,207,462,6797
0,Logistic Regression,Title,Validation,3,0.9084745762711864,0.5054509415262636,0.5831903945111492,0.6891891891891891,510,230,499,6726
0,Logistic Regression,Title,Validation,4,0.9155053358443189,0.5488180883864338,0.6134405514072372,0.6953125,534,234,439,6758
0,Logistic Regression,Title,Validation,5,0.912241054613936,0.5358255451713395,0.5961871750433275,0.671875,516,252,447,6750
0,Logistic Regression,Title,Validation,6,0.9111111111111111,0.5307317073170732,0.6057906458797326,0.7055771725032426,544,227,481,6713
0,Logistic Regression,Title,Validation,7,0.9152542372881356,0.5406797116374872,0.608695652173913,0.6962864721485411,525,229,446,6765
0,Logistic Regression,Title,Validation,8,0.9155053358443189,0.5431841831425598,0.6080372743156669,0.6904761904761905,522,234,439,6770
0,Logistic Regression,Title,Validation,9,0.9094676042189854,0.5044160942100098,0.5877644368210405,0.7041095890410959,514,216,505,6729
0,Logistic Regression,Title,Validation,10,0.9092164741336012,0.5170340681362725,0.5880341880341879,0.6816380449141347,516,241,482,6725
0,Logistic Regression,Title,Test,0,0.9063928087179229,0.5062274005624748,0.5748175182481753,0.6649076517150396,1260,635,1229,16789
