,Word,Coefficient
0,advers,1.561510910579533
1,arbitrari,10.145070276575172
2,archives,6.358590500716098
3,assort,0.36089357243864156
4,autoar,1.7351421009489092
5,bug,0.40709692749820003
6,cc_set_password,0.4650187344955875
7,ccw,3.7512893236691167
8,circumv,2.6288250764520553
9,cloudpip,3.810766461582919
10,coinstal,1.5659154128357249
11,collid,2.5294659634532346
12,config_drm_boch,3.1402714791439625
13,config_fw_loader_user_help,2.621473441585987
14,craft,5.8411446351753975
15,cve,13.363894970873353
16,delete_self,2.3438328634099634
17,discount,3.560388566044568
18,doinstal,2.3551832154929793
19,dpcd,1.845099502511238
20,dsbl,0.35720009648594336
21,dtc,3.4195795898082184
22,ena,2.211672156785047
23,escal,8.735554589036948
24,euclid,0.8839581995008097
25,exercis,0.49662677129186245
26,exposur,2.688681887460777
27,favor,7.306365158538592
28,fetchmail,4.069038082856821
29,foc,2.5798516527476876
30,folsom,4.335127977992784
31,gcp,4.425457756319063
32,gicv,2.9621050999741554
33,guid,-5.186934784887279
34,guidelin,5.328441868169787
35,haswel,4.656378459831898
36,heap,3.071398759333368
37,hisi_sa,2.5039508797210086
38,hisilicon,3.0185626649569675
39,hn,3.372248568624779
40,hsw,3.805667127596623
41,hv_kvp_daemon,1.9889007981032245
42,ic,3.6435698043693683
43,icl,2.324589243932085
44,imagecach,3.7832882145584334
45,inject,8.71474857903756
46,insecur,9.161994340039826
47,installation,8.328834193459413
48,ipr,2.8564346847206488
49,iscsid,3.1547752045945923
50,kbl,1.067516988264547
51,kconfig,1.1857233429434493
52,kompoz,4.628411861703658
53,leakag,3.1424152222996597
54,lha,3.85184807816396
55,libjcat,3.2123652222557832
56,libsa,1.9224914970212643
57,libvl,6.907336145093326
58,libxin,2.4303279443000103
59,linux,19.27517613572519
60,loal,2.450210635242521
61,localedef,3.7713689443101552
62,loggerhead,4.162517699930986
63,lro,1.244115242255018
64,lto,0.0
65,malici,5.370936333763775
66,mariadb,5.237404116691315
67,meta,-5.7385955113250615
68,microreleas,6.564847832017226
69,minilzo,0.49948832787105224
70,mitig,6.393138813057693
71,mod_includ,0.4526727293878656
72,modules,-8.24677110616092
73,moodl,5.235848826865321
74,mysql_upgrad,2.687438901772732
75,netn,3.6223339993448778
76,neutron,-3.1494634616364423
77,oem,3.9534148188722096
78,oldroot,0.41434278416143244
79,omni,3.3176593616550103
80,opens,0.6395508777461236
81,oracl,5.941749074151816
82,ossa,6.318108064925498
83,overflow,12.814565609935714
84,overrun,6.7760571436727774
85,pam_motd,2.397752734914458
86,patchset,3.1158048646849963
87,plaintext,7.799792115668474
88,profileinfo,-0.49990076285730534
89,propertieschang,3.3204487765001924
90,psk,4.218714333347876
91,pstore,1.5379616876442401
92,rewrit,-1.5701630571913368
93,rsvg_filter_primitive_rend,0.48989536450695415
94,rtlbe,1.1829987877552903
95,runc,4.73238737087608
96,scalabl,1.6647939413803925
97,secur,13.649616244
98,shiftf,2.8931350205257944
99,snapdragon,2.669649631854441
100,source,-8.389817445815856
101,spoof,5.833730115346273
102,squashfs,2.824917114217589
103,srvxkbfreegeomrow,2.892620669132745
104,sslv,3.761222237433256
105,stix,3.147500212347869
106,tcm_loop,3.444746329601173
107,tgl,3.3474903620939798
108,thinkpad_acpi,2.1077728382156016
109,tiff,5.41373476501046
110,tracker,-8.166137986665184
111,travers,5.712773776372526
112,ubiqu,-7.8132913936882025
113,ubuntu_kernel_selftest,2.105431060212583
114,unauthent,3.7622703068739622
115,usn,6.720929887669672
116,usrmerg,6.646041777610564
117,vdag,4.607644941019974
118,vfio,6.6274034783522655
119,vmd,3.410207235330055
120,vmsplice,4.480205105751504
121,vulner,12.09929941536668
122,warti,3.8728014103519715
123,witherspoon,2.0717636477937367
124,xmon,1.1238446738109547
