,Word,Coefficient
0,advers,2.5444459512407978
1,arbitrari,9.09545313525263
2,archives,6.23948335542891
3,assort,0.44191663481769117
4,autoar,1.2677956538884159
5,bug,0.6212258687842604
6,cc_set_password,0.44006721653144704
7,ccw,3.496820469966025
8,circumv,3.136591387091366
9,cloudpip,3.912345402946609
10,coinstal,0.6763066015036928
11,collid,2.6959030722143993
12,config_drm_boch,2.7944198731869854
13,config_fw_loader_user_help,3.1514243684991157
14,craft,4.0498863056331045
15,cve,10.821203332675495
16,delete_self,0.636149684026844
17,discount,4.667843570390048
18,doinstal,3.126778454182609
19,dpcd,1.2826487054534832
20,dsbl,0.0
21,dtc,3.526647748804173
22,ena,1.2856551981696935
23,escal,7.099183665472704
24,euclid,1.4038650661184888
25,exercis,2.0671344507459177
26,exposur,2.4598491719655584
27,favor,5.373994825228763
28,fetchmail,4.428832878275524
29,foc,2.660591350938681
30,folsom,5.829162071473488
31,gcp,3.728877899940558
32,gicv,2.9347550709846137
33,guid,-4.828101690386014
34,guidelin,5.552652315933205
35,haswel,3.7535956655334957
36,heap,4.204627546432828
37,hisi_sa,1.5605015012144232
38,hisilicon,2.078583634661284
39,hn,2.45311370437912
40,hsw,3.149831136406649
41,hv_kvp_daemon,0.7888844559814635
42,ic,3.8802663639475483
43,icl,4.841294746406849
44,imagecach,3.9815151264962187
45,inject,7.675616930583632
46,insecur,7.80674243157651
47,installation,6.678308985274292
48,ipr,2.974423691216453
49,iscsid,5.540427117117785
50,kbl,3.913222587406077
51,kconfig,1.2186337051657068
52,kompoz,4.604453401101202
53,leakag,5.797911569751759
54,lha,4.067930958355318
55,libjcat,3.8531079249062468
56,libsa,1.6057644726691838
57,libvl,4.800645893153551
58,libxin,2.7273353972298384
59,linux,19.08674168054213
60,loal,2.7198287334191464
61,localedef,3.9368991958629063
62,loggerhead,4.006557372640793
63,lro,1.2400926708604136
64,lto,3.9443230346989884
65,malici,4.7633840934126
66,mariadb,5.173700161364025
67,meta,-4.730611007853352
68,microreleas,5.311044377968566
69,minilzo,0.4722499175666234
70,mitig,4.921305919219136
71,mod_includ,0.42851991303062764
72,modules,-9.558089168759098
73,moodl,4.2007619837488
74,mysql_upgrad,3.1562952604646406
75,netn,2.089291623466199
76,neutron,-3.2112724293320496
77,oem,2.3692258505947095
78,oldroot,0.39260471313062967
79,omni,0.537866273122294
80,opens,0.0
81,oracl,3.068761447173105
82,ossa,5.209822070426207
83,overflow,11.66861180113642
84,overrun,5.178284036465405
85,pam_motd,3.753749498114859
86,patchset,2.3998239664916623
87,plaintext,4.849924702982748
88,profileinfo,-0.4923370234764067
89,propertieschang,4.103378192589116
90,psk,4.440074166930214
91,pstore,1.227363763969224
92,rewrit,-1.6989987687388748
93,rsvg_filter_primitive_rend,0.46330201228019385
94,rtlbe,1.6106829354730614
95,runc,4.377764078161472
96,scalabl,0.2334768364562042
97,secur,11.80357767115605
98,shiftf,1.3035053836084611
99,snapdragon,1.8382771471730732
100,source,-8.704152269805588
101,spoof,4.22358952788173
102,squashfs,2.9100637903744873
103,srvxkbfreegeomrow,2.3700069086618263
104,sslv,4.781651075848861
105,stix,3.958222908768117
106,tcm_loop,2.1090080198745964
107,tgl,1.9544707681836835
108,thinkpad_acpi,2.577028042279944
109,tiff,5.685661809445165
110,tracker,-11.284687382096658
111,travers,4.610186090331529
112,ubiqu,-8.212069740299434
113,ubuntu_kernel_selftest,1.5623160033426884
114,unauthent,-0.1112908395376948
115,usn,4.608642926506285
116,usrmerg,5.5618196143079945
117,vdag,0.4563080293271295
118,vfio,5.036712049414897
119,vmd,2.886733068998682
120,vmsplice,4.497702831134547
121,vulner,11.150051283506652
122,warti,5.147100226361025
123,witherspoon,2.392926475667003
124,xmon,2.0559047994702344
